NODE_22_length_1092_cov_17.170330,0
NODE_227_length_17728_cov_8.145138,0
NODE_368_length_95913_cov_8.145454,0
NODE_501_length_2698_cov_4.403262,3
NODE_83_length_30959_cov_8.206402,0
NODE_96_length_1344_cov_16.811756,0
NODE_2_length_16156_cov_8.219856,0
NODE_391_length_18466_cov_8.041157,0
NODE_401_length_1196_cov_6.761706,0
NODE_363_length_56311_cov_8.373550,0
NODE_322_length_13952_cov_8.311927,0
NODE_394_length_1280_cov_15.627344,0
NODE_37_length_2911_cov_16.829613,0
NODE_151_length_29715_cov_8.256470,0
NODE_28_length_34835_cov_8.108799,0
NODE_131_length_92242_cov_8.320277,0
NODE_1_length_2054_cov_17.474684,0
NODE_32_length_1298_cov_27.580894,0
NODE_20_length_1174_cov_71.271721,0
NODE_388_length_16348_cov_7.850318,0
NODE_74_length_5532_cov_8.931309,0
NODE_43_length_3201_cov_17.114964,2
NODE_26_length_3431_cov_15.138152,0
NODE_202_length_21368_cov_7.902611,0
NODE_9_length_28909_cov_10.362067,2
NODE_19_length_1273_cov_24.035349,2
NODE_257_length_6277_cov_8.895651,0
NODE_191_length_2593_cov_10.080987,0
NODE_309_length_63619_cov_8.319213,0
NODE_129_length_160323_cov_8.254436,0
NODE_13_length_6591_cov_8.574723,0
NODE_258_length_263280_cov_8.177872,0
NODE_100_length_1535_cov_6.691205,3
NODE_130_length_3461_cov_7.763941,0
NODE_254_length_191233_cov_8.270398,0
NODE_107_length_7609_cov_8.569195,0
NODE_449_length_1570_cov_6.334395,0
NODE_121_length_60582_cov_8.522333,0
NODE_45_length_1450_cov_32.235863,0
NODE_103_length_20202_cov_8.395357,2
NODE_27_length_35477_cov_8.181526,0
NODE_3_length_15564_cov_8.154202,0
NODE_505_length_906976_cov_6.853119,1
NODE_261_length_321461_cov_8.199894,0
NODE_111_length_80116_cov_8.871636,0
NODE_18_length_14422_cov_8.414783,0
NODE_188_length_948_cov_28.155064,0
NODE_97_length_16779_cov_9.613564,2
NODE_30_length_1022_cov_17.723091,0
NODE_347_length_1627_cov_5.590043,0
NODE_29_length_44540_cov_9.429951,0
NODE_94_length_21295_cov_9.556140,0
NODE_460_length_2399_cov_4.216757,0
NODE_250_length_251161_cov_8.263253,0
NODE_36_length_8116_cov_8.142927,0
NODE_53_length_98503_cov_8.154990,0
NODE_115_length_78252_cov_8.512166,0
NODE_267_length_4676_cov_7.631737,0
NODE_108_length_1232_cov_16.167208,0
NODE_86_length_30952_cov_8.371123,0
NODE_15_length_3555_cov_8.369058,0
NODE_260_length_165083_cov_8.801846,0
NODE_216_length_305319_cov_6.901228,1
NODE_123_length_75191_cov_8.369140,0
NODE_390_length_121514_cov_8.358864,2
NODE_361_length_352602_cov_6.831901,1
NODE_114_length_4896_cov_18.356821,0
NODE_246_length_206288_cov_6.775057,1
NODE_106_length_2172_cov_16.183702,0
NODE_98_length_5819_cov_7.887266,0
NODE_157_length_58632_cov_8.156433,0
NODE_217_length_21883_cov_8.243248,0
NODE_69_length_3809_cov_9.583093,0
NODE_173_length_51809_cov_8.202050,0
NODE_64_length_358694_cov_6.830965,1
NODE_235_length_90026_cov_8.272466,0
NODE_55_length_1339_cov_15.497386,2
NODE_39_length_339592_cov_8.189162,0
NODE_494_length_527700_cov_6.812331,1
NODE_290_length_1962_cov_6.746177,0
NODE_118_length_15438_cov_8.266615,0
NODE_236_length_61287_cov_8.171537,0
NODE_52_length_81425_cov_8.175524,0
NODE_351_length_354039_cov_6.840114,1
NODE_489_length_157263_cov_6.771033,1
NODE_179_length_197611_cov_8.217700,0
NODE_89_length_1295_cov_4.794595,0
NODE_500_length_1625_cov_5.125538,3
